flow_bucket,priority_high,priority_medium,priority_low,n_steps,has_auth,has_payment,has_form_input,n_inputs,n_buttons,avg_dom_confidence,qa_edit_ratio,n_assertions,n_waits,code_lines,past_pass_rate,past_runs,mean_duration_s,duration_stddev_s,risk_label
search,0.0,0.0,1.0,3,0.0,0.0,1.0,1,0,0.9777,0.0715,3,0,57,1.0,36,1.831,0.32,LOW
login_flow,1.0,0.0,0.0,7,1.0,0.0,1.0,3,0,0.8712,0.5319,5,3,69,0.7725,52,4.019,0.65,MEDIUM
search,0.0,0.0,1.0,3,0.0,0.0,1.0,2,1,0.9362,0.0324,2,0,47,0.9663,66,0.906,0.238,LOW
cart_ops,0.0,1.0,0.0,6,1.0,0.0,0.0,0,3,0.8229,0.0419,5,0,31,0.9153,40,1.756,0.439,MEDIUM
checkout,1.0,0.0,0.0,10,1.0,1.0,1.0,2,2,0.6446,0.4523,7,2,192,0.5883,25,6.535,1.149,MEDIUM
checkout,0.0,1.0,0.0,10,0.0,1.0,1.0,5,3,0.443,0.6751,6,6,133,0.5132,14,5.915,2.265,HIGH
checkout,0.0,1.0,0.0,11,0.0,1.0,1.0,3,1,0.8314,0.5379,7,4,144,0.811,22,6.088,2.014,MEDIUM
checkout,1.0,0.0,0.0,18,1.0,1.0,1.0,5,2,0.6443,0.4771,13,3,114,0.6894,0,9.684,1.079,HIGH
search,0.0,1.0,0.0,2,0.0,0.0,0.0,0,0,0.9186,0.0289,1,0,27,0.9154,72,1.845,0.274,MEDIUM
login_flow,0.0,1.0,0.0,8,1.0,0.0,1.0,2,1,0.6672,0.2211,4,3,98,0.7379,44,4.487,1.273,HIGH
cart_ops,1.0,0.0,0.0,8,0.0,0.0,0.0,2,2,0.7909,0.1627,5,0,60,0.8852,38,3.134,0.493,MEDIUM
checkout,1.0,0.0,0.0,14,0.0,1.0,1.0,3,4,0.6211,0.2674,7,0,116,0.8359,42,4.589,1.329,MEDIUM
search,0.0,0.0,1.0,3,0.0,0.0,0.0,1,0,0.9604,0.0584,2,1,43,0.9859,61,1.019,0.464,LOW
cart_ops,0.0,0.0,1.0,5,1.0,0.0,0.0,0,4,0.7503,0.157,3,0,76,0.8179,21,1.464,0.632,MEDIUM
search,1.0,0.0,0.0,2,0.0,0.0,0.0,1,0,0.8631,0.0216,2,0,51,0.9307,84,0.586,0.348,LOW
cart_ops,0.0,1.0,0.0,5,0.0,0.0,0.0,1,3,0.7012,0.0864,6,2,33,0.7811,31,2.165,0.639,MEDIUM
cart_ops,1.0,0.0,0.0,5,0.0,0.0,1.0,1,1,0.8709,0.2011,3,1,65,0.8638,26,1.977,0.306,MEDIUM
cart_ops,1.0,0.0,0.0,6,1.0,0.0,0.0,2,6,0.8234,0.057,3,2,60,0.9276,25,0.742,0.372,LOW
cart_ops,0.0,1.0,0.0,7,1.0,0.0,1.0,0,4,0.8695,0.0,6,0,87,0.8168,34,1.887,0.193,MEDIUM
cart_ops,0.0,0.0,1.0,4,0.0,0.0,1.0,2,2,0.8491,0.1759,5,1,39,0.7532,22,1.031,0.177,MEDIUM
checkout,1.0,0.0,0.0,10,1.0,1.0,1.0,4,1,0.5405,0.6805,8,7,90,0.4883,24,6.15,1.322,HIGH
login_flow,1.0,0.0,0.0,9,1.0,0.0,1.0,5,1,0.7894,0.378,3,3,53,0.8041,35,3.512,0.688,MEDIUM
login_flow,1.0,0.0,0.0,9,1.0,0.0,1.0,3,2,0.6254,0.3744,4,3,48,0.7716,19,3.909,1.522,MEDIUM
cart_ops,0.0,1.0,0.0,7,0.0,0.0,0.0,1,3,0.8066,0.3343,6,1,43,0.7927,32,3.914,0.256,MEDIUM
checkout,1.0,0.0,0.0,12,0.0,1.0,1.0,6,2,0.5938,0.0748,10,3,129,0.916,36,9.089,0.307,MEDIUM
cart_ops,1.0,0.0,0.0,9,1.0,0.0,0.0,3,4,0.7849,0.0151,4,1,71,0.8622,22,1.239,0.392,MEDIUM
search,0.0,0.0,1.0,3,0.0,0.0,1.0,1,1,0.945,0.0792,2,0,35,0.9539,44,0.531,0.36,LOW
checkout,1.0,0.0,0.0,11,0.0,1.0,1.0,2,3,0.6068,0.5813,7,2,158,0.8679,21,7.387,2.449,MEDIUM
search,1.0,0.0,0.0,4,0.0,0.0,0.0,3,0,0.9684,0.0093,1,0,51,0.9006,54,2.737,0.274,MEDIUM
login_flow,0.0,0.0,1.0,9,1.0,0.0,1.0,4,2,0.6693,0.2695,8,3,103,0.9166,19,4.736,0.912,MEDIUM
login_flow,1.0,0.0,0.0,9,1.0,0.0,1.0,4,1,0.5153,0.2032,8,3,113,0.9388,32,3.891,1.219,LOW
search,0.0,1.0,0.0,5,0.0,0.0,1.0,1,1,0.9782,0.0847,2,0,17,0.9934,77,1.039,0.28,LOW
login_flow,1.0,0.0,0.0,4,1.0,0.0,1.0,4,1,0.6382,0.396,8,3,96,0.705,6,3.375,1.009,HIGH
search,0.0,0.0,1.0,4,0.0,0.0,1.0,1,1,0.9994,0.0963,3,0,22,0.9493,69,1.194,0.271,LOW
cart_ops,0.0,1.0,0.0,7,0.0,0.0,0.0,0,3,0.8583,0.2371,2,2,55,0.8413,28,0.1,0.449,MEDIUM
checkout,1.0,0.0,0.0,12,0.0,1.0,1.0,4,2,0.7913,0.6792,6,6,167,0.7208,18,7.85,2.403,HIGH
login_flow,1.0,0.0,0.0,10,1.0,0.0,1.0,3,1,0.5945,0.4329,5,2,81,0.8238,28,6.488,0.465,MEDIUM
cart_ops,1.0,0.0,0.0,7,0.0,0.0,1.0,2,2,0.917,0.1034,4,1,79,0.9692,37,1.56,0.33,LOW
checkout,0.0,0.0,1.0,13,1.0,1.0,1.0,5,1,0.4859,0.6427,6,2,201,0.7466,62,5.002,1.354,HIGH
cart_ops,0.0,1.0,0.0,4,1.0,0.0,0.0,0,3,0.7981,0.0618,5,0,66,0.7773,45,0.695,0.391,MEDIUM
search,1.0,0.0,0.0,4,0.0,0.0,1.0,1,1,0.8441,0.0572,2,0,30,0.9699,49,1.377,0.258,LOW
cart_ops,0.0,1.0,0.0,6,1.0,0.0,0.0,1,1,0.8439,0.1541,6,1,90,0.8151,45,2.801,0.177,MEDIUM
checkout,1.0,0.0,0.0,12,0.0,1.0,1.0,3,1,0.3512,0.572,9,4,157,0.6691,38,8.033,2.659,HIGH
checkout,0.0,1.0,0.0,17,1.0,1.0,1.0,7,1,0.6504,0.26,6,4,158,0.7508,24,3.947,1.618,MEDIUM
